,title,price,avg_rating,taste,score,brand,description,spirit_style,state,taste_list
0,A.D. Rattray Aberfeldy 18 Yr,99.99,-1.0,None,-1,A.D. Rattray," Highlands, Scotland- Pleasant aromas of caramel, cereal grain candied apple with hints of vanilla and almonds in the background. Flavors begin with sweet caramelized apples and stone fruits with hints of vanilla throughout. Finishes clean and dry. Try it neat on the rocks. Enjoy! ",Single Malt,Highland,['none']
1,A.D. Rattray Auchroisk 22 Yr,139.99,-1.0,None,-1,A.D. Rattray," Speyside, Scotland - This Auchroisk is quite perfumed with hints of lemon meringue, citrus, sandalwood and a light note of flowers. It is enjoyed with water, with ice, or with a mixer. ",Single Malt,,['none']
2,A.D. Rattray Aultmore 16 Year,97.99,-1.0,None,-1,A.D. Rattray," Speyside, Scotland- Aroma of honey, ripe fruits, pineapple, honeydew melon, spices and aniseed. A sweet buttery palate of vanilla fudge, bursting with fruit and apple tart. Enjoy on the rocks. ",Single Malt,,['none']
3,A.D. Rattray Ben Nevis 17Yr Single Cask Barrel Select,99.99,-1.0, Delicate . Apple . Grass . Vanilla . Complex ,-1,A.D. Rattray,,Single Malt,Highland,"[' delicate', 'apple', 'grass', 'vanilla', 'complex ']"
4,A.D. Rattray Benriach 23 Yr,179.99,-1.0,None,-1,A.D. Rattray," Speyside, Scotland- Rich aromas of honey and heather with baked apple and sweet nutty tones. The palate begins with the same sweetness of honey and heather followed by toasted oak, spice and anise. Enjoy this rich, full-bodied classic neat on the rocks! ",Single Malt,,['none']
5,A.D. Rattray Blair Athol 22 Yr,149.99,-1.0,None,-1,A.D. Rattray," Highlands, Scotland - Golden hues. To the nose, Menthol, lemon rind, and parsley. On the palate, Spices, herbs, wine, and lemon. The finish has herb and spice notes, It can be enjoyed neat, on the rocks, with water, or in a mixed drink. ",Single Malt,Highland,['none']
6,A.D. Rattray Cask Islay Single Malt,57.99,-1.0,None,-1,A.D. Rattray," Islay, Scotland- This limited edition blended malt whiskey of handpicked casks is youthful with character. It offers a smoky complexion of honey, oat and caramel flavors, and lime joins in the long lasting aftertaste. ",Single Malt,Islay & Islands,['none']
7,A.D. Rattray Craigellachie 14 yr Barrel Select,109.99,-1.0,None,-1,Craigellachie,,Single Malt,Speyside,['none']
8,A.D. Rattray Fettercairn 10Yr,76.99,-1.0,None,-1,A.D. Rattray," Scotland- NOSE: Wine gums, coconut water, orange peel and linseed. TASTE: Lime juice, pineapple and chocolate-coated strawberries. FINISH: Sharp, zesty and fresh as a Marlborough Sauvignon Blanc. ",Single Malt,Highland,['none']
9,A.D. Rattray Girvan 1964 50 Yr,899.99,-1.0, Rich . Orange . Chocolate . Nut . Long ,-1,A.D. Rattray," Lowlands, Scotland - This 50 year old expression is the first to be bottled as part of A.D. Rattray's Vintage Cask Collection. Only 255 bottles have been produced. Deep and exquisite aromas of orange peel, dark chocolate truffles, Brazil nuts, nutmeg, rich honey and coconut. Sip neat. ",Single Malt,Lowland,"[' rich', 'orange', 'chocolate', 'nut', 'long ']"
10,A.D. Rattray Glen Elgin 1995 21 Years,159.99,-1.0,None,-1,A.D. Rattray," Speyside, Scotland- Nose: Cut grass, fresh citrus and leather, then the merest hint of smoke. Taste: Waxy and mouth-coating, with barley sugars and honey to the fore. Finish: Green tea and finally oak. Gracefully aged, full of poise and balance. ",Single Malt,,['none']
11,A.D. Rattray Glen Elgin 1995 Single Barrel Select,119.99,-1.0, Medium . Vanilla . Spice . Long ,-1,A.D. Rattray," Speyside, Scotland- Bright gold color, with aromas of buttery vanilla and lime fruits. Flavors of dark chocolate, orange marmalade and sherry notes. Finishes sweet, with toffee and custard tones. Cask 1646, was hand selected by our local experts with limited bottles available. ",Single Malt,,"[' medium', 'vanilla', 'spice', 'long ']"
12,A.D. Rattray Glen Moray 10 Yr Barrel Select,89.99,-1.0,None,-1,Glen Moray,,Single Malt,Speyside,['none']
13,A.D. Rattray Glenburgie 2001 13 Yr,88.99,5.0,None,-1,A.D. Rattray," Speyside, Scotland - Aromas of honeysuckle blossom, backed apple and orange zest on the nose. The palate tastes of toasted malt, chocolate, and butterscotch with a warming finish. On the finish the spirit is transformed by a fresh sherry hogshead. Sip neat and enjoy. ",Single Malt,Speyside,['none']
14,A.D. Rattray Glencadam 22 Yr,169.99,-1.0,None,-1,A.D. Rattray," Highlands, Scotland- A gorgeous golden scotch with aromas of pineapple, gummy fruit and soft, malty oak. Flavors of sweet barley sugar and caramel cheesecake peak through into a pleasantly sweet finish. Try it neat on the rocks! Enjoy! ",Single Malt,Highland,['none']
15,A.D. Rattray Inchgower 17 Yr Barrel Select,149.99,-1.0,None,-1,A.D. Rattray,,Single Malt,Speyside,['none']
16,A.D. Rattray Knockadu 9 Yr Barrel Select,79.99,-1.0,None,-1,A.D. Rattray,,Single Malt,Highland,['none']
17,A.D. Rattray Stronachie 10 Yr,47.99,-1.0,None,-1,A.D. Rattray," Highlands, Scotland - Soft honey, earthy heather and malty sweetness on the nose. The palate is smooth with luscious honey and biscuits, then lingering pepper and cereal notes. The finish is perfectly balanced. Sip neat and enjoy. ",Single Malt,Highland,['none']
18,A.D. Rattray Stronachie 12yr,49.99,-1.0, Peat . Nut ,-1,A.D. Rattray," Highlands, Scotland- Slightly syrupy, malty, sweetness and a slight amount of peaty dryness are present in this firm whisky with firm palate and soothing finish and nut flavors. ",Single Malt,Highland,"[' peat', 'nut ']"
19,A.D. Rattray Stronachie 18 Yr,99.99,4.0,None,-1,A.D. Rattray," Highlands, Scotland - A unique single malt bottling from the Benrinnes distillery under the stronachie label. Big, bold flavorful malt with a smokey tinge and rich spicy character. Finishes long and smooth with lingering oak. Enjoy neat. ",Single Malt,Highland,['none']
20,A.D. Rattray Tamdhu 24 yr,219.99,-1.0,None,-1,A.D. Rattray," Speyside, Scotland- Aromas of brine, citrus and sandalwood with smooth, buttery flavors of warm butterscotch and custard tones. The finish comes back full circle with notes of citrus and some maltiness for a very pleasant aftertaste. Enjoy on the rocks! ",Single Malt,Speyside,['none']
21,Aberfeldy 12 yo,32.99,4.5, Rich . Spice . Honey . Long ,-1,Aberfeldy," Highlands, Scotland- Reserved as the heart of Dewar's blends, limited quantities of Aberfeldy single malt are now available. At 12 years old, Aberfeldy is noted for its heather honey nose, full body and rounded taste. The finish is elegant, with pronounced spice and hints of orange. ",Single Malt,Highland,"[' rich', 'spice', 'honey', 'long ']"
22,Aberfeldy 16 Year,89.99,-1.0,None,-1,Aberfeldy," Scotland- Aberfeldy 16 Year Old was released in 2015 as part of The Last Great Malts series. Matured in a combination of bourbon and sherry casks, this has lovely balance between sweetness and spiciness. ",Single Malt,,['none']
23,Aberfeldy 21 yo,149.99,4.0, Rich . Spice . Wood . Long ,91,Aberfeldy," Highlands, Scotland- 21 years of aging has added dignity to Aberfeldy's distinctive heather honey softness. The taste lingers like a fine liqueur with its long, dry finish enhanced by notes of mature Seville oranges, spices, vanilla and sandalwood. Sip and savor this exclusive whisky. ",Single Malt,Highland,"[' rich', 'spice', 'wood', 'long ']"
24,Aberlour 12 Yr,39.99,4.4, Rich . Fruit . Vanilla . Balanced ,-1,Aberlour," Speyside, Scotland- Matured in bourbon and sherry casks. Soft and rounded with notes of apple and other orchard fruit. Sherry and fruity aromas balanced with rich chocolate, toffee, cinnamon, and ginger. Warm, lingering finish. DOUBLE GOLD-2016 SAN FRANCISCO WORLD SPIRITS COMPETITION. ",Single Malt,Speyside,"[' rich', 'fruit', 'vanilla', 'balanced ']"
25,Aberlour 12 Yr Non-Chilled Filtered,87.99,4.0,None,-1,Aberlour," Speyside, Scotland- Aged in bourbon and sherry casks. Aromas are soft with cereal grains and honeysuckle. Rich on the palate with ripe stone fruit, thick cinnamon spice and dark toffee. Smooth and fine-grained. Long, smooth finish. 92pts. - 2014 ULTIMATE SPIRITS ",Single Malt,Speyside,['none']
26,Aberlour 16 Yr,59.99,4.8, Delicate . Sherry . Spice . Mild ,90,Aberlour," Speyside, Scotland- Aged in bourbon and sherry casks. A toasty nose with aromas of hazelnut, toffee and sugar cookies. Spicy palate with plenty of cinnamon, nutmeg, toasted oats and vanilla accents. Long finish. CHAIRMAN'S TROPHY FINALIST 97pts - 2016 ULTIMATE SPIRITS CHALLENGE. ",Single Malt,,"[' delicate', 'sherry', 'spice', 'mild ']"
27,Aberlour 18 Yr,97.99,5.0,None,91,Aberlour," Speyside, Scotland- Aged in bourbon and sherry casks. Dried apricot, fresh oranges, and light smoke aromas. The mouth leads with a touch of sweetness and soft vanilla and honey notes. Long and balanced finish. CHAIRMAN'S TROPHY FINALIST 97pts. - 2016 ULTIMATE SPIRITS CHALLENGE. ",Single Malt,,['none']
28,Aberlour A'bunadh,69.99,4.8, Intense . Spice . Sherry . Long ,90,Aberlour," Speyside, Scotland- Cask Strength and aged exclusively in Oloroso Sherry casks. Deep and concentrated aromas of nuts and raisins. The mouth begins spicy, turning to sweet dried fig and candied nuts. Long, spicy finish. CHAIRMAN'S TROPHY 98pts - 2016 ULTIMATE SPIRITS CHALLENGE. ",Single Malt,,"[' intense', 'spice', 'sherry', 'long ']"
29,Adelphi Clynelish 17 Yr 1996,209.99,-1.0,None,-1,Adelphi," Highlands, Scotland - This whisky is drawn from a rare Spanish oak, ex-sherry hogshead. To the nose, a light prickle with dried fruits and spice. A rich, oily mouth feel; sweet and spicy taste and a thread of scented smoke in the long finish. ",Single Malt,Highland,['none']
30,Adelphi Longmorn 28 Yr 1985,329.99,-1.0,None,-1,Adelphi," Speyside, Scotland - Rich, oily and mouth-drying after a sweet start, at full strength with fruits of the forest, even slightly tropical. It can be enjoyable either neat, with ice, water, or even a mixer. ",Single Malt,,['none']
31,After Dark Premium Grain Whisky,14.99,5.0,None,-1,After Dark, India- One-hundred percent grain based spirit produced in India. On the nose it is clean with medium to spicy chili notes accented by honey and ripe stonefruit. Palate features fully intense flavors balanced with the aromas and a musky backdrop. Enjoy straight at room temperature. ,Single Malt,,['none']
32,Ainsley Brae Burgundy Cask Finish,23.99,4.3, Medium . Cedar . Cherry . Complex ,-1,Ainsley Brae," Highlands, Scotland - A great highland expression aged in ex bourbon barrels then finsihed in burgundy casks for 6-8 months giving this whisky a rich body with berry and wood notes. ",Single Malt,Highland,"[' medium', 'cedar', 'cherry', 'complex ']"
33,Ainsley Brae Glendullan 12 Yr,57.99,4.0, Rich . Spice . Clove . Creamy . Complex ,-1,Ainsley Brae," Speyside, Scotland - Built in 1897 the Glendullen distillery was one of the original seven stills of Dufftown. The offering has a rich complex profile that scotch lovers are bound to cherish. Gold Medal SF Spirits Competition ",Single Malt,Speyside,"[' rich', 'spice', 'clove', 'creamy', 'complex ']"
34,Ainsley Brae Highland Malt 1964,442.99,5.0, Intense . Spice . Cedar . Vanilla . Complex ,-1,Ainsley Brae," Scotland, Highlands - A classic highland malt distilled in1964 and bottled in 2013. This 49-year-old whisky is a cap stone to any collection. The Intense cedar and spice notes yeild to sweeter vanilla notes and the finish lingers in a way the only a whisky of this age can. ",Single Malt,Highland,"[' intense', 'spice', 'cedar', 'vanilla', 'complex ']"
35,Ainsley Brae Royal Brackla 12 Yr,57.99,-1.0, Rich . Caramel . Spice . Complex ,-1,Ainsley Brae," Highlands, Scotland - Built in 1812, the Brackla Whisky was selected by King William IV of the United Kingdom to be his whisky for the Royal Court, ever since this whiskey was used as a benchmark for quality. Drink with a splash of water. Silver Medal SF Spirits Competition ",Single Malt,Highland,"[' rich', 'caramel', 'spice', 'complex ']"
36,Ainsley Brae Sauternes Cask Finish,22.99,4.0, Medium . Spice . Cherry . Vanilla . Balanced ,-1,Ainsley Brae," Highlands, Scotland - A great Highland expression aged in ex-bourbon barrels then finsihed in Sauternes casks for 6-8 months, giving this Whisky a rich body with spice and cherry notes. Gold Medal SF Spirits Competition ",Single Malt,Highland,"[' medium', 'spice', 'cherry', 'vanilla', 'balanced ']"
37,Ainsley Brae Sherry Cask Finish,23.99,4.8, Rich . Sherry . Spice . Complex ,-1,Ainsley Brae," Highlands, Scotland - A great highland expression aged in ex bourbon barrels then finsihed in sherry casks for 6-8 months giving this whisky a rich body with spice and vanilla notes that give way to fruit and wood notes at the back. Silver Medal SF Spirits Competition ",Single Malt,Highland,"[' rich', 'sherry', 'spice', 'complex ']"
38,Ainsley Brae Single Malt Oak Cask,21.99,3.3, Medium . Spice . Vanilla . Mild ,-1,Ainsley Brae," Highlands, Scotland - An exemplary Highland expression aged in ex-bourbon barrels for a rich profile with notes of spice, oak and vanilla. This straightforward Single Malt is great neat or with a splash of water. Silver Medal SF Spirits Competition ",Single Malt,Highland,"[' medium', 'spice', 'vanilla', 'mild ']"
39,Akashi Single Malt Japanese Whisky,99.99,-1.0,None,-1,Akashi," Japan - Located in the town of Akashi, near the farmed city of Kobe in Japan, White Oak distillery has been in operation since 1919. The single malt whisky has no age statement, but has plenty of rich malty flavor and a supple fruited character that should please fans of the genre. ",Single Malt,,['none']
40,Akashi White Oak Whisky,35.99,-1.0,None,-1,Akashi," Japan - The aroma is delicate with notes of marshmallow, barrel spices, raw corn, and vanilla. As you taste, the same notes are found and the whisky is soft and full on your palate. Enjoy! ",Single Malt,,['none']
41,Alexander Murray 1962 Highland,1199.99,-1.0, Delicate . Honey . Spice . Sherry . Complex ,-1,Alexander Murray," Highland, Scotland- This exquisite expression was aged for 52 years in an oak cask, then was finish for 12 months in an ex-sherry cask. The length of aging and finishing created an elegant and complex whisky with rich spice and honey. ",Single Malt,Highland,"[' delicate', 'honey', 'spice', 'sherry', 'complex ']"
42,Alexander Murray 1972 Speyside,799.99,-1.0, Intense . Smoke . Floral . Balanced ,-1,Alexander Murray," Speyside, Scotland - Dark amber in color with aromas of dried fruits, a subtle smokiness and complex palate, with a dry and slightly floral finish. It can be enjoyed neat, with water, ice or a mixer. ",Single Malt,Speyside,"[' intense', 'smoke', 'floral', 'balanced ']"
43,Alexander Murray 1991 Glen Garioch,129.99,4.0,None,-1,Alexander Murray," Highlands, Scotland - Scotland's most easterly distillery and is one of Scotland's oldest. This rare bottling from 1991 has an array of sweet vanilla flavors, butterscotch and honeycomb. Orange peel blends with mocha and oak spice, finishing with a warming heathery smokiness. ",Single Malt,Highland,['none']
44,Alexander Murray 1992 Bruichladdich,159.99,-1.0,None,-1,Alexander Murray," Islay, Scotland - This fine Alexander Murray bottling of Bruichladdich 21 year old single malt is very special. The nose is full bodied with an initial oily, sweet nose. To taste, sweet Scottish tablet and hints of nuts leading to a gripping complex but smooth finish. Enjoy neat. ",Single Malt,,['none']
45,Alexander Murray 1996 Glentauchers,104.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland - This rare bottling of 17 year old Glentauchers has been matured in ex-bourbon casks. This whisky has a rich golden color, with hints of orchard fruits on the nose. On the palate you will find notes of sweet caramel and ripe grapes. The finish is long and smooth. ",Single Malt,,['none']
46,Alexander Murray 1997 Dailuaine,99.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland - Alexander Murray brings you this rare bottling of Dailuaine single malt distilled in 1997. It has been matured in oak casks for 16 years. A sweet vanilla nose, followed by a sweet, creamy butterscotch taste and a long soft-spiced fruit finish. Sip neat. ",Single Malt,,['none']
47,Alexander Murray 1997 Macallan,499.99,-1.0, Rich . Dried Fruit . Spice . Balanced ,-1,Alexander Murray," Highlands, Scotland- Very rare 20 Year Old Macallan. Satisfyingly complex, characterized by its rich color, aroma and flavor, and with hints of dried fruits, light smoke, and chocolate orange. ",Single Malt,Highland,"[' rich', 'dried fruit', 'spice', 'balanced ']"
48,Alexander Murray 2000 Highland Park,139.99,-1.0,None,-1,Alexander Murray," Scotland - This rare bottling of cask strength has been matured in ex-bourbon casks. A glowing amber color with a sweet peaty aroma on the nose. To taste, it is bursting with spicy fruits and has a long peaty finish. Add a drop or two of water and sip neat. ",Single Malt,,['none']
49,Alexander Murray 2005 Laphroaig,129.99,-1.0, Intense . Smoke . Peat . Long ,-1,Alexander Murray," Islay, Scotland- This offering has intense smoke on the nose with a balanced sweetness on the palate followed by strong peat notes and an extremely long finish. Best enjoyed neat. ",Single Malt,Islay & Islands,"[' intense', 'smoke', 'peat', 'long ']"
50,Alexander Murray Allt-a-Bhainne 23 Yr,149.99,5.0, Rich . Sweet . Spice . Toffee . Complex ,-1,Alexander Murray," Speyside, Scotland - From a small distillery that sits on the northern slopes of the mountain of Ben Rinnes. Sweet and spicy with hints of toffee, cinnamon, pepper, and fudge. Pronounced ""Alta-vanya"" ",Single Malt,Speyside,"[' rich', 'sweet', 'spice', 'toffee', 'complex ']"
51,Alexander Murray Ardmore 13 Yr,109.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland - Golden hues. To the nose, faint peat and marzipan. on the palate, creamy vanilla, buttered biscuits. Long finish with vanilla, oak and faint smoke. It can be enjoyed neat, with water, on the rocks, or in a mixed drink. ",Single Malt,Highland,['none']
52,Alexander Murray Ardmore Single Malt Aged 9 Years,45.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland- Aromas of a smoky malt: dry, smoky campfire explodes on the palate; yet through maturation it has developed fine depth of character, subtle vanilla bean arrives with a peasant and coating texture. ",Single Malt,Speyside,['none']
53,Alexander Murray Auchentoshan 15 Yr,78.99,-1.0,None,-1,Alexander Murray," Lowlands, Scotland - Triple Distilled and unpeated malt gives the Whisky a more delicate and sweet flavor than most Scotch Whiskies. The ex-bourbon allows for gorgeous sweet vanilla notes on the nose and on the palate it will initially be woody, followed by creamy vanilla. ",Single Malt,Lowland,['none']
54,Alexander Murray Ben Nevis 17 Yr,119.99,-1.0,None,-1,Alexander Murray," Highland, Scotland- Aroma highlights hints of nuts and oranges. Toffee with a peat burst at the end on the palate. Sublime, oily, oak notes on the finish unique to this family of single malts. Matured in ex-bourbon casks at the base of Scotland's highest mountain. ",Single Malt,Highland,['none']
55,Alexander Murray Benrinnes 19 Yr,159.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland- Benrinnes has a particularly full-bodied and perfumed character that contributes bags of flavor to blends. As a stand alone single malt Benrinnes is the most interesting idiosyncratic of whiskies- full of flavor with a luscious body. Finish is of stewed fruits. ",Single Malt,Speyside,['none']
56,Alexander Murray Bladnoch 25 Yr,179.99,-1.0,None,-1,Alexander Murray," Scotland- Light in color. Here you will find a sweet, floral nose with hints of malted barley. On the palate it is smooth and sweet with hints of citrus fruits and bananas. The finish is long and just keeps on going. ",Single Malt,,['none']
57,Alexander Murray Bon Accord,29.99,5.0, Medium . Sweet . Smoke . Long ,-1,Alexander Murray," Scotland - This entry level single malt is a marriage of aged casks from one distillery, brought together to create an elegant and complex single malt. Golden in color, with a medium sweet body, gently smokey, with a strong finish. ",Single Malt,,"[' medium', 'sweet', 'smoke', 'long ']"
58,Alexander Murray Braes of Glenlivet 21 Yr,139.99,-1.0, Medium . Sweet . Fruit . Oak . Mild ,-1,Alexander Murray," Speyside, Scotland - Truly a rare find for any Speyside fan, this is a medium-bodied whisky from the sister distillery of The Glenlivet. Sweet and fruity, with custard, toffee, and oak notes. ",Single Malt,Speyside,"[' medium', 'sweet', 'fruit', 'oak', 'mild ']"
59,Alexander Murray Bruichladdich Aged 12 Years Cask Strength,119.99,-1.0,None,-1,Alexander Murray," Islay & Islands, Scotland- Carries a delicate, unpeated, malty, fruity dram. Sweet, creamy oatmeal leads the charge with fruit preserve quick to follow. Candied fruits linger, leading to delicate, drying oak. ",Single Malt,Islay & Islands,['none']
60,Alexander Murray Bunnahabhain 26Yr,239.99,5.0, Medium . Oak . Fruit . Complex ,-1,Alexander Murray," Islay, Scotland - This will not be quite as smoky or salty as whiskies from neighboring distilleries. Dry and fruity the flavor sometimes resembles that of an oaked chardonnay. ",Single Malt,Islay & Islands,"[' medium', 'oak', 'fruit', 'complex ']"
61,Alexander Murray Bunnahabhain 28Yr,299.99,5.0, Rich . Spice . Smoke . Fruit . Complex ,-1,Alexander Murray," Islay, Scotland - Rich, spicy, but not too smoky. Malty and nutty, you will get a taste of fruit cake, but also some fruitiness with citrus peel and peach. Enjoy neat or with a few drops of water. ",Single Malt,Islay & Islands,"[' rich', 'spice', 'smoke', 'fruit', 'complex ']"
62,Alexander Murray Caol Ila 8 Yr,74.99,-1.0,None,-1,Alexander Murray," Islay, Scotland - Golden in color. To the nose, smoky with a sea tide. on the palate, a real salty breeze taste. It finishes with a hint of smoke. It is perfect on the rocks by the fire. ",Single Malt,Islay & Islands,['none']
63,Alexander Murray Dalmore 15 Yr,129.99,-1.0,None,-1,Alexander Murray," Highland, Scotland- Dalmore 15 Year is dark in color with dried fruit on the nose. On the palate it has classic christmas cake notes of sherry, raisins, cherries and cinnamon. The finish is sweet fruit and nutmeg. ",Single Malt,Highland,['none']
64,Alexander Murray Glen Garioch 20Yr,129.99,-1.0,None,-1,Alexander Murray," Highland, Scotland- This 1994 expression showcases rich aromas of malt, smoked apricot, and salt. The medium-bodied palate begins sweet then becomes drying and complex. Finishes dry and intense. ",Single Malt,Highland,['none']
65,Alexander Murray Glen Grant 22 Year Barrel Select,109.99,-1.0, Intense . Cereal Grain . Nut . Toffee . Balanced ,-1,Alexander Murray," Speyside, Scotland- This un-chill filtered exclusive barrel select expression is bottled at cask strength. The intense nutty and cereal character of Glen Grant softened from development in the cask, allowing rounded, bourbon-like characteristics to shine through. Malty, toffee notes. ",Single Malt,Speyside,"[' intense', 'cereal grain', 'nut', 'toffee', 'balanced ']"
66,Alexander Murray Glen Moray 12 Yr,74.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland- Glen Moray is known for its delicate spirit, and this expression is specially selected for its spicy character. Bottled at cask strength the aromas of coconut, vanilla, and spice are abundant. Light bodied with apple crumber and almond. Vanilla and spice finish. ",Single Malt,Speyside,['none']
67,Alexander Murray Glenkeith,149.99,-1.0,None,-1,Alexander Murray," Highland, Scotland- This 1995 vintage has a delicate and complex character- slightly oily, with a pleasant grain character. Nose of vanilla and rich fruit. Palate has subtle oak with a wisp of smoke. Finish is mild. ",Single Malt,Highland,['none']
68,Alexander Murray Glenlivet 45 Yr,899.99,-1.0, Rich . Sweet . Creamy . Complex ,-1,Alexander Murray," Scotland- The interplay between flavors in this Alexander Murray bottling of Glenlivet is wonderfully intriguing and will delight the most discerning of palates. The whisky is approachable and delicate, sweet and savory are delivered in a rich and creamy body. ",Single Malt,Speyside,"[' rich', 'sweet', 'creamy', 'complex ']"
69,Alexander Murray Glenlossie 19 Yr,119.99,-1.0, Light . Floral . Pear . Honey . Mild ,-1,Alexander Murray," Speyside, Scotland - This is remarkably fresh for an aged whisky, with a healthy dose of floral notes. Flavors of red apple, pear, and honeycomb. Light-bodied with a long, smooth finish. ",Single Malt,Speyside,"[' light', 'floral', 'pear', 'honey', 'mild ']"
70,Alexander Murray Glenrothes 22 Yr,159.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland- This expression is a very bold whisky: luscious, sweet, fruity, and spicy. Aromas of honey, melon, and rich toffee are followed by a medium-bodied palate with notes of honey, palm sugar, and spice. The finish showcases licorice, intense spice, and faint smoke. ",Single Malt,Speyside,['none']
71,Alexander Murray Glentauchers 20 Yr,99.99,-1.0, Rich . Smoke . Oak . Malt . Complex ,-1,Alexander Murray," Speyside, Scotland- This whisky has a soft yet rich character. Sweet malt and gooseberry notes combine fantastically with rich oak flavors. A very faint hint of smoke adds complexity. ",Single Malt,Speyside,"[' rich', 'smoke', 'oak', 'malt', 'complex ']"
72,Alexander Murray Glenturret 30 Yr,229.99,-1.0,None,-1,Alexander Murray," Highland, Scotland- This 1986 vintage is beautifully aged for rich and fruity accents throughout the palate. Notes of sweet malt and orchard fruit lead to a dry, spicy, and lingering finish. ",Single Malt,Highland,['none']
73,Alexander Murray Glenturret 34 Yr,259.99,-1.0, Rich . Toffee . Malt . Long ,-1,Alexander Murray," Highland, Scotland- This 1982 vintage is beautifully aged with rich and spicy accents throughout the palate. Sweet malt, biscuit, and toffee notes lead to a dry and lingering finish. All together rich and well-rounded. ",Single Malt,Highland,"[' rich', 'toffee', 'malt', 'long ']"
74,Alexander Murray Highland 12Yr,49.99,-1.0,None,-1,Alexander Murray," Scotland- 2004 vintage, this scotch is beautifully light-bodied with great character. It tastes of sweet biscuit, toffee and honey with an oaky, vanilla finish. Enjoy on its own or in your favorite drink. ",Single Malt,Highland,['none']
75,Alexander Murray Highland 49 Yr,1399.99,-1.0, Rich . Sherry . Malt . Balanced ,-1,Alexander Murray," Highlands, Scotland - Alexander Murray brings you this extremely rare bottling , of Highland 49 year old Single Malt Scotch. Distilled in 1964 & matured in oak casks. Deep aromas of sherry. Smooth and balanced on the palate. Hints of malted barley on the finish. ",Single Malt,Highland,"[' rich', 'sherry', 'malt', 'balanced ']"
76,Alexander Murray Highland Sherry Finish,86.99,-1.0,None,-1,Alexander Murray," Scotland - Whiskies from the Highland region can be described as elegant and complex. With its sherry cask finish; the result is a Scotch that has deep aromas of sherry, is smooth and balanced on the palate, with hints of malted barley on the finish. Sip neat. ",Single Malt,Highland,['none']
77,Alexander Murray Ledaig Single Malt 20 Years Cask Strength,199.99,-1.0,None,-1,Alexander Murray," Islay & Islands- Ledaig is the lesser-known, peated variant produced only a small fraction of the year. This 1997 vintage has a lovely display of balance: crisp, citrus, dry and earthy peat, and sweet, textured barley sugar come together to please the palate. ",Single Malt,Islay & Islands,['none']
78,Alexander Murray Linkwood 19 Yr,119.99,-1.0, Medium . Fruit . Smoke . Nut . Long ,-1,Alexander Murray," Speyside, Scotland - Fruity and creamy taste with a delicat hint of smoke and malt. A dry nuttiness and luscious vanilla flavor permeate the palate which gives way to a long and smooth finish. ",Single Malt,Speyside,"[' medium', 'fruit', 'smoke', 'nut', 'long ']"
79,Alexander Murray MacDuff 15 Yr,85.99,-1.0, Medium . Herbal . Fruit . Complex ,-1,Alexander Murray," Highland, Scotland- This expression highlights toffee and cereal grain on the nose. The palate finds ample orange and ginger notes, followed by a long finish with more ginger. ",Single Malt,Highland,"[' medium', 'herbal', 'fruit', 'complex ']"
80,Alexander Murray Monumental 18 Yr,59.99,-1.0,None,-1,Alexander Murray," Scotland- Select Malt and Grain Whiskies have been blended to create a robust blend with rich, balanced flavors and luscious, creamy texture. Monumental blend was created to celebrate the original spirit and vision of the early distillers. ",Blended Scotch,,['none']
81,Alexander Murray Monumental Blend 30 Yr,189.99,5.0,None,-1,Alexander Murray," Highlands, Scotland - A recapture of the original spirit and vision of the early distillers, this exceptional blend featuring 75% single malt was finished in sherry casks for 8 months. This monumental scotch has notes of butterscotch, leather, spices with hints of cinnamon and apple. ",,,['none']
82,Alexander Murray Mortlach 19 Yr,169.99,-1.0,None,-1,Alexander Murray," Speyside, Scotland- All the flavors you love of Mortlach, but with a little less bite. Hefty aromas filled with hints of peat, smooth caramel, and a bit of woody and fruit. The palate is light with similar tones as the aromas coming through on the palate. A great and easy sipper. ",Single Malt,Speyside,['none']
83,Alexander Murray Polly's Cask,99.99,-1.0, Rich . Creamy . Cereal Grain . Apricot . Complex ,-1,Alexander Murray," Highland, Scotland- What if fine single malt Scotch whisky was finished in the same bourbon barrels used to age Californian barley wines, stouts & special Imperial bitters? An exceptional single malt: a double-barrelled celebration, a whisky that quite literally has no peers. ",Single Malt,Highland,"[' rich', 'creamy', 'cereal grain', 'apricot', 'complex ']"
84,Alexander Murray Strathmill 24 Yr,189.99,-1.0, Delicate . Oily . Smoke . Fruit . Balanced ,-1,Alexander Murray," Speyside, Scotland - Delicate, oily, and surprisingly smoky for a Speyside singe malt. You'll also pick up on fruity notes that include dried apricot, sweet apple, and tangerine. ",Single Malt,Speyside,"[' delicate', 'oily', 'smoke', 'fruit', 'balanced ']"
